text,source,reference,category,language,embedding
"Ameller niyetlere göredir.","Buhari","Bed'ü'l-Vahy, 1","Niyet","tr",""
"Kolaylaştırınız, zorlaştırmayınız.","Müslim","İman, 6","Kolaylık","tr",""
"Komşusu açken tok yatan bizden değildir.","Tirmizî","Zühd, 35","Komşuluk","tr",""
"İnsanların en hayırlısı insanlara faydalı olandır.","Ebu Davud","Edeb, 120","İyilik","tr",""
"Güzel söz sadakadır.","Buhari","Edeb, 54","Söz","tr",""
"Mümin, elinden ve dilinden insanların emin olduğu kimsedir.","Nesai","İman, 8","Güven","tr",""
"Kolaylık sağlayınız, nefret ettirmeyiniz.","İbn Mace","Mukaddime, 17","Kolaylık","tr",""
"İki günü eşit olan ziyandadır.","Tirmizî","Zühd, 59","Gelişim","tr",""
"Temizlik imanın yarısıdır.","Müslim","Taharet, 1","Temizlik","tr",""
"Allah güzeldir, güzelliği sever.","Müslim","İman, 147","Güzellik","tr","" 
